common_name,scientific_name,n_records,n_complete,has_data,rank
Short-tailed Albatross,Phoebastria albatrus,312,303,0,548
Dark-sided Flycatcher,Muscicapa sibirica,347,294,0,549
Glossy Ibis,Plegadis falcinellus,350,283,0,550
Mexican Whip-poor-will,Antrostomus arizonae,324,280,0,551
Wood Warbler,Phylloscopus sibilatrix,319,269,0,552
Ruby-throated Hummingbird,Archilochus colubris,343,268,0,553
Golden-winged Warbler,Vermivora chrysoptera,351,268,0,554
Sprague's Pipit,Anthus spragueii,279,257,0,555
Wedge-rumped Storm-Petrel,Hydrobates tethys,323,254,0,556
Ruddy Ground Dove,Columbina talpacoti,273,250,0,557
Brambling,Fringilla montifringilla,259,247,0,558
White-winged Parakeet,Brotogeris versicolurus,290,247,0,559
Curve-billed Thrasher,Toxostoma curvirostre,279,236,0,560
Horned Puffin,Fratercula corniculata,247,232,0,561
Magnificent Frigatebird,Fregata magnificens,376,229,0,562
Eastern Yellow Wagtail,Motacilla tschutschensis,278,226,0,563
Mississippi Kite,Ictinia mississippiensis,273,215,0,564
Cave Swallow,Petrochelidon fulva,241,210,0,565
Ross's Gull,Rhodostethia rosea,335,205,0,566
White-rumped Sandpiper,Calidris fuscicollis,257,203,0,567
Common Black Hawk,Buteogallus anthracinus,237,202,0,568
Common Crane,Grus grus,249,199,0,569
Crested Caracara,Caracara plancus,294,199,0,570
Yellow Rail,Coturnicops noveboracensis,216,191,0,571
Common Scoter,Melanitta nigra,238,189,0,572
Rufous-backed Robin,Turdus rufopalliatus,204,182,0,573
Wedge-tailed Shearwater,Ardenna pacifica,181,177,0,574
Groove-billed Ani,Crotophaga sulcirostris,260,177,0,575
Red-faced Warbler,Cardellina rubrifrons,210,176,0,576
Pyrrhuloxia,Cardinalis sinuatus,190,174,0,577
Common Pochard,Aythya ferina,209,164,0,578
Alder Flycatcher,Empidonax alnorum,224,161,0,579
Swallow-tailed Gull,Creagrus furcatus,250,160,0,580
Couch's Kingbird,Tyrannus couchii,175,158,0,581
Gilded Flicker,Colaptes chrysoides,187,157,0,582
Ruddy Shelduck,Tadorna ferruginea,170,152,0,583
Streaked Shearwater,Calonectris leucomelas,142,142,0,584
Purple Gallinule,Porphyrio martinica,211,139,0,585
Blue Jay,Cyanocitta cristata,151,133,0,586
White-tailed Ptarmigan,Lagopus leucura,189,129,0,587
Cockatiel,Nymphicus hollandicus,152,123,0,588
Siberian Pipit,Anthus japonicus,153,123,0,589
Arctic Loon,Gavia arctica,135,118,0,590
Whooper Swan,Cygnus cygnus,135,117,0,591
Bohemian Waxwing,Bombycilla garrulus,135,115,0,592
Gray-cheeked Thrush,Catharus minimus,132,115,0,593
Chimney Swift,Chaetura pelagica,134,111,0,594
Purple Sandpiper,Calidris maritima,135,111,0,595
Zebra Finch,Taeniopygia guttata,129,110,0,596
Common Grackle,Quiscalus quiscula,138,107,0,597
Eurasian Tree Sparrow,Passer montanus,115,104,0,598
Common Eider,Somateria mollissima,130,102,0,599
Black-tailed Gull,Larus crassirostris,163,102,0,600
Common Greenshank,Tringa nebularia,122,101,0,601
Fischer's Lovebird,Agapornis fischeri,113,98,0,602
Budgerigar,Melopsittacus undulatus,132,96,0,603
Graylag Goose,Anser anser,112,95,0,604
Yellow-fronted Canary,Crithagra mozambica,112,95,0,605
Orange-fronted Parakeet,Eupsittula canicularis,102,92,0,606
Piping Plover,Charadrius melodus,110,88,0,607
Eurasian Skylark,Alauda arvensis,97,87,0,608
Violet-crowned Hummingbird,Ramosomyia violiceps,97,84,0,609
Cinnamon-rumped Seedeater,Sporophila torqueola,80,78,0,610
Eastern Meadowlark,Sturnella magna,84,77,0,611
Yellow-crowned Amazon,Amazona ochrocephala,91,77,0,612
Helmeted Guineafowl,Numida meleagris,89,74,0,613
